ODDS1,ODDS2,ODDS3,win,place,placeodd,rank,Band,PChange,,,,,,,%
29,46,68,38,56,13,5,0,48%,,,,,,,
10,10,5.9,446,344,2.2,6,0,-41%,,,,,,,
3.6,3.2,4.1,639,430,1.7,7,0,28%,,,,,,,
39,99,88,29,46,16,8,0,-11%,,,,,,,
7.4,9.8,10,256,264,2.8,9,0,2%,,,,,,,
15,16,11,225,233,3.2,10,0,-31%,,,,,,,
40,87,99,17,30,24,11,0,14%,,,,,,,
11,9.1,8.6,307,299,2.5,12,0,-5%,,,,,,,
54,99,99,13,23,32,13,0,0%,,,,,,,
32,72,99,21,33,22,14,0,38%,,,,,,,
6,5.7,4.8,466,327,1.9,1,1,-16%,,,,,,,
5.6,4.1,3.7,608,402,1.6,2,1,-10%,,,,,,,
30,29,31,71,85,7.5,3,1,7%,,,,,,,
28,28,34,64,74,8.6,4,0,21%,,,,,,,
21,33,47,47,55,11,5,0,42%,,,,,,,
9.6,10,14,151,126,5.1,6,0,40%,,,,,,,
4.8,6.3,9.3,241,215,2.9,7,0,48%,,,,,,,
23,18,11,201,183,3.5,8,0,-39%,,,,,,,
20,31,45,49,62,10,9,0,45%,,,,,,,
16,23,18,124,143,4.4,10,0,-22%,,,,,,,
20,24,14,160,142,4.5,11,0,-42%,,,,,,,
26,22,32,69,83,7.7,12,0,45%,,,,,,,
14,16,9.9,227,186,3.4,13,0,-38%,,,,,,,
7.6,6.1,9.2,244,237,2.7,14,0,51%,,,,,,,
7,4.1,4.1,587,395,1.6,1,1,0%,,,,,,,
7.7,4.7,5.4,445,448,1.4,2,1,15%,,,,,,,
20,14,22,108,123,5.1,3,1,57%,,,,,,,
10,10,12,191,231,2.7,4,0,20%,,,,,,,
2.5,4.8,2.4,1011,464,1.3,5,0,-50%,,,,,,,
15,31,34,69,94,6.7,6,0,10%,,,,,,,
5.4,3.8,7,345,322,1.9,7,0,84%,,,,,,,
25,35,43,55,68,9.3,8,0,23%,,,,,,,
43,70,99,19,30,21,9,0,41%,,,,,,,
50,92,99,16,28,22,10,0,8%,,,,,,,
36,88,99,15,21,29,11,0,13%,,,,,,,
33,41,40,59,86,7.3,12,0,-2%,,,,,,,
14,7.2,7.8,342,279,2.7,1,1,8%,,,,,,,
11,10,10,259,245,3.1,2,1,0%,,,,,,,
20,20,23,116,150,5,3,1,15%,,,,,,,
2.5,2.3,2.5,1075,574,1.3,4,0,9%,,,,,,,
51,99,99,15,27,27,5,0,0%,,,,,,,
14,12,8.4,318,306,2.4,6,0,-30%,,,,,,,
41,62,74,36,50,14,7,0,19%,,,,,,,
29,28,37,71,88,8.5,8,0,32%,,,,,,,
7.6,5.8,5.9,450,384,1.9,9,0,2%,,,,,,,
17,35,14,189,193,3.9,10,0,-60%,,,,,,,
16,20,23,116,129,5.8,11,0,15%,,,,,,,
8.3,13,15,174,195,3.8,12,0,15%,,,,,,,
17,35,44,60,85,8.8,13,0,26%,,,,,,,
33,74,99,22,32,23,14,0,34%,,,,,,,
1.8,1.9,1.9,1851,598,1.2,1,1,0%,,,,,,,
10,14,10,343,331,2.2,2,1,-29%,,,,,,,
14,11,10,327,262,2.8,3,1,-9%,,,,,,,
12,4.5,4.5,765,450,1.6,4,0,0%,,,,,,,
18,28,23,148,157,4.7,5,0,-18%,,,,,,,
21,41,45,76,120,6.2,6,0,10%,,,,,,,
21,22,26,129,112,6.7,7,0,18%,,,,,,,
31,42,33,104,115,6.5,8,0,-21%,,,,,,,
29,72,93,37,51,14,9,0,29%,,,,,,,
22,25,27,125,154,4.8,10,0,8%,,,,,,,
22,26,34,100,128,5.8,11,0,31%,,,,,,,
35,30,43,81,84,8.8,12,0,43%,,,,,,,
33,99,99,21,31,24,13,0,0%,,,,,,,
15,23,31,109,128,5.8,14,0,35%,,,,,,,
6.2,6.3,3.8,512,392,1.6,1,1,-40%,,,,,,,
10,12,11,164,177,3.5,2,1,-8%,,,,,,,
4.9,3.8,4.9,390,313,2,3,1,29%,,,,,,,
9,10,14,137,174,3.6,4,0,40%,,,,,,,
6.1,4.5,5.2,374,357,1.7,5,0,16%,,,,,,,
22,22,25,76,98,6.3,6,0,14%,,,,,,,
7.8,11,11,165,176,3.5,7,0,0%,,,,,,,
23,24,24,80,105,5.9,8,0,0%,,,,,,,
7.3,6.5,5.8,332,327,1.9,9,0,-11%,,,,,,,
37,48,59,32,36,17,10,0,23%,,,,,,,
50,66,56,34,44,13,11,0,-15%,,,,,,,
13,30,37,51,67,9.3,12,0,23%,,,,,,,
2.2,2,2.1,1105,500,1.1,1,1,5%,,,,,,,
20,20,8.8,270,246,2.3,2,1,-56%,,,,,,,
26,35,33,70,71,7.9,3,1,-6%,,,,,,,
7.6,6.8,11,206,223,2.5,4,0,62%,,,,,,,
39,42,50,47,73,7.7,5,0,19%,,,,,,,
9.6,11,7.8,302,184,3,6,0,-29%,,,,,,,
13,10,12,197,175,3.2,7,0,20%,,,,,,,
26,26,34,69,77,7.3,8,0,31%,,,,,,,
4.9,5.3,5.2,451,332,1.7,9,0,-2%,,,,,,,
44,42,23,101,100,5.6,10,0,-45%,,,,,,,
89,99,99,9,18,30,11,0,0%,,,,,,,
22,36,48,49,55,10,12,0,33%,,,,,,,
7.1,7.9,8.7,244,200,3,1,1,10%,,,,,,,
2.9,2.3,3.1,686,367,1.6,2,1,35%,,,,,,,
17,23,14,145,141,4.2,3,1,-39%,,,,,,,
17,24,14,144,135,4.4,4,0,-42%,,,,,,,
16,24,15,141,137,4.4,5,0,-38%,,,,,,,
11,11,10,195,233,2.6,6,0,-9%,,,,,,,
20,13,13,154,150,4,7,0,0%,,,,,,,
7,8.4,8.9,238,216,2.8,8,0,6%,,,,,,,
8.8,7.1,7.6,280,283,2.1,9,0,7%,,,,,,,
14,31,36,58,68,8.7,10,0,16%,,,,,,,
17,16,7.8,271,216,2.8,11,0,-51%,,,,,,,
31,56,72,29,41,14,12,0,29%,,,,,,,
6,7.2,4.9,473,337,1.9,1,1,-32%,,,,,,,
3.6,2.1,3,783,416,1.5,2,1,43%,,,,,,,
9.2,17,20,112,157,4.1,3,1,18%,,,,,,,
6.9,6.2,6.4,363,321,2,4,0,3%,,,,,,,
18,16,13,170,187,3.5,5,0,-19%,,,,,,,
12,10,14,161,185,3.5,6,0,40%,,,,,,,
12,17,10,230,204,3.2,7,0,-41%,,,,,,,
12,39,36,64,82,7.9,8,0,-8%,,,,,,,
17,24,36,63,81,8,9,0,50%,,,,,,,
17,29,17,131,137,4.7,10,0,-41%,,,,,,,
14,13,9.1,255,239,2.7,11,0,-30%,,,,,,,
30,98,99,18,26,24,12,0,1%,,,,,,,
12,8.4,9.6,235,239,2.6,1,1,14%,,,,,,,
4.6,2.4,2.2,1001,533,1.1,2,1,-8%,,,,,,,
14,5.7,4.2,538,404,1.5,3,1,-26%,,,,,,,
19,16,18,125,148,4.2,4,0,13%,,,,,,,
37,54,58,38,63,9.8,5,0,7%,,,,,,,
52,45,38,58,78,7.9,6,0,-16%,,,,,,,
15,9,11,195,210,3,7,0,22%,,,,,,,
21,16,22,99,146,4.2,8,0,38%,,,,,,,
25,33,25,87,108,5.8,9,0,-24%,,,,,,,
2.2,5.7,6.8,331,304,2,10,0,19%,,,,,,,
8.4,47,73,30,36,17,11,0,55%,,,,,,,
74,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
3.6,3.7,5,530,353,1.9,1,1,35%,,,,,,,
5.6,4,2.7,957,550,1.2,2,1,-33%,,,,,,,
22,17,10,243,275,2.4,3,1,-41%,,,,,,,
9.8,8.7,6.3,416,338,2,4,0,-28%,,,,,,,
25,34,37,71,81,8.3,5,0,9%,,,,,,,
3.8,3.5,4.7,558,353,1.9,6,0,34%,,,,,,,
17,18,31,85,101,6.7,7,0,72%,,,,,,,
11,24,28,92,110,6.1,8,0,17%,,,,,,,
13,19,18,146,161,4.2,9,0,-5%,,,,,,,
61,95,99,19,28,24,10,0,4%,,,,,,,
54,99,99,10,15,44,11,0,0%,,,,,,,
18,22,31,83,101,6.6,12,0,41%,,,,,,,
7,5.1,3.2,908,579,1.3,1,1,-37%,,,,,,,
4.6,4,3.5,839,488,1.5,2,1,-13%,,,,,,,
9,5.7,9.4,308,271,2.7,3,1,65%,,,,,,,
5.2,5.9,5,583,426,1.7,4,0,-15%,,,,,,,
9.2,8.7,14,206,226,3.3,5,0,61%,,,,,,,
10,35,43,67,92,8,6,0,23%,,,,,,,
16,14,16,180,187,4,7,0,14%,,,,,,,
30,83,99,21,32,22,8,0,19%,,,,,,,
39,63,73,39,51,14,9,0,16%,,,,,,,
6.4,6.6,10,286,232,3.2,10,0,52%,,,,,,,
25,39,39,73,94,7.9,11,0,0%,,,,,,,
43,93,99,23,31,23,12,0,6%,,,,,,,
7.2,17,13,188,181,4.1,1,1,-24%,,,,,,,
13,16,8.5,301,273,2.7,2,1,-47%,,,,,,,
9,12,19,132,138,5.5,3,1,58%,,,,,,,
4.8,4.2,6.3,405,313,2.4,4,0,50%,,,,,,,
16,16,10,256,229,3.3,5,0,-38%,,,,,,,
15,12,12,199,193,3.9,6,0,0%,,,,,,,
8.2,7.7,8.6,297,303,2.5,7,0,12%,,,,,,,
10,5.7,4.1,622,429,1.7,8,0,-28%,,,,,,,
18,15,15,161,167,4.5,9,0,0%,,,,,,,
6.6,5.3,7.5,343,285,2.6,10,0,42%,,,,,,,
13,19,26,95,118,6.4,11,0,37%,,,,,,,
16,29,23,109,123,6.1,12,0,-21%,,,,,,,
5.6,4.4,3.1,934,587,1.4,1,1,-30%,,,,,,,
4,2.6,2.7,1066,586,1.4,2,1,4%,,,,,,,
7,11,16,180,221,3.7,3,1,45%,,,,,,,
13,11,14,202,248,3.3,4,0,27%,,,,,,,
10,7.1,7.4,396,417,2,5,0,4%,,,,,,,
25,58,85,34,37,21,6,0,47%,,,,,,,
9.8,15,21,135,138,5.9,7,0,40%,,,,,,,
11,19,13,214,271,3,8,0,-32%,,,,,,,
11,19,19,154,163,5.1,9,0,0%,,,,,,,
35,68,99,27,36,22,10,0,46%,,,,,,,
12,17,20,145,211,3.9,11,0,18%,,,,,,,
19,30,42,69,91,9.1,12,0,40%,,,,,,,
4.1,5.3,4.2,478,349,1.5,1,1,-21%,,,,,,,
23,49,45,44,56,9.4,2,1,-8%,,,,,,,
26,33,59,34,43,12,3,1,79%,,,,,,,
3.1,2.6,3.2,631,320,1.6,4,0,23%,,,,,,,
8,9.2,11,172,189,2.8,5,0,20%,,,,,,,
18,20,13,149,174,3,6,0,-35%,,,,,,,
6.8,4.3,3.7,544,365,1.4,7,0,-14%,,,,,,,
12,11,11,172,161,3.3,8,0,0%,,,,,,,
94,78,99,20,32,16,9,0,27%,,,,,,,
17,34,55,36,34,15,10,0,62%,,,,,,,
64,99,99,11,16,32,11,0,0%,,,,,,,
33,47,35,56,65,8.1,12,0,-26%,,,,,,,
48,32,25,78,90,5.9,13,0,-22%,,,,,,,
28,48,63,32,41,13,14,0,31%,,,,,,,
12,10,13,131,149,3.4,1,1,30%,,,,,,,
5.8,4.3,5.6,314,284,1.8,2,1,30%,,,,,,,
3.4,3.2,2.3,753,412,1.2,3,1,-28%,,,,,,,
5.4,4.8,6.1,290,272,1.9,4,0,27%,,,,,,,
18,34,47,37,54,9.5,5,0,38%,,,,,,,
18,18,17,100,139,3.7,6,0,-6%,,,,,,,
23,39,65,27,36,14,7,0,67%,,,,,,,
6.3,7.1,5.5,323,294,1.7,8,0,-23%,,,,,,,
47,53,54,32,50,10,9,0,2%,,,,,,,
32,37,50,35,53,9.7,10,0,35%,,,,,,,
20,30,45,39,54,9.4,11,0,50%,,,,,,,
14,21,27,63,80,6.4,12,0,29%,,,,,,,
0,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
1.8,2,1.7,1119,354,1.2,1,1,-15%,,,,,,,
13,13,16,115,137,3.1,2,1,23%,,,,,,,
5.8,7.9,10,182,158,2.7,3,1,27%,,,,,,,
12,10,9.3,207,193,2.2,4,0,-7%,,,,,,,
24,26,25,76,85,5,5,0,-4%,,,,,,,
18,16,9.6,200,199,2.2,6,0,-40%,,,,,,,
11,10,16,119,101,4.2,7,0,60%,,,,,,,
34,16,20,95,104,4.1,8,0,25%,,,,,,,
55,73,91,21,31,13,9,0,25%,,,,,,,
99,99,99,8,20,21,10,0,0%,,,,,,,
11,7.7,10,193,182,2.4,11,0,30%,,,,,,,
99,99,99,6,10,41,12,0,0%,,,,,,,
0,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
12,16,14,155,156,3.9,1,1,-13%,,,,,,,
5.2,4.3,5.3,415,330,1.8,2,1,23%,,,,,,,
11,11,5.9,377,292,2.1,3,1,-46%,,,,,,,
3.2,3.6,4.4,503,344,1.8,4,0,22%,,,,,,,
24,18,12,172,182,3.3,5,0,-33%,,,,,,,
10,5.9,5.7,390,228,2.7,6,0,-3%,,,,,,,
58,99,99,19,36,16,7,0,0%,,,,,,,
36,51,42,52,67,9.1,8,0,-18%,,,,,,,
10,13,11,197,158,3.8,9,0,-15%,,,,,,,
9.4,9.9,10,208,184,3.3,10,0,1%,,,,,,,
16,23,25,87,107,5.7,11,0,9%,,,,,,,
11,12,17,128,138,4.4,12,0,42%,,,,,,,
14,12,7.8,279,233,2.6,1,1,-35%,,,,,,,
19,32,35,61,73,8.4,2,1,9%,,,,,,,
8.8,5.7,4.6,471,351,1.7,3,1,-19%,,,,,,,
4.9,6.4,6,363,306,2,4,0,-6%,,,,,,,
3.7,2.6,3.2,685,384,1.6,5,0,23%,,,,,,,
17,26,31,69,80,7.6,6,0,19%,,,,,,,
11,13,17,127,139,4.4,7,0,31%,,,,,,,
10,9.4,9.6,228,228,2.7,8,0,2%,,,,,,,
29,27,26,81,104,5.9,9,0,-4%,,,,,,,
25,37,32,67,69,8.8,10,0,-14%,,,,,,,
27,53,68,31,45,13,11,0,28%,,,,,,,
19,26,29,73,89,6.9,12,0,12%,,,,,,,
17,17,18,119,135,4.5,13,0,6%,,,,,,,
21,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
2.4,1.8,2.1,1247,511,1.3,1,1,17%,,,,,,,
16,17,15,163,188,3.5,2,1,-12%,,,,,,,
6.7,12,13,186,193,3.4,3,1,8%,,,,,,,
20,27,39,65,83,8,4,0,44%,,,,,,,
62,99,99,19,33,20,5,0,0%,,,,,,,
20,15,9.1,284,249,2.7,6,0,-39%,,,,,,,
19,17,11,222,208,3.2,7,0,-35%,,,,,,,
7.6,8.8,9.5,272,245,2.7,8,0,8%,,,,,,,
16,18,20,127,135,4.9,9,0,11%,,,,,,,
13,17,19,133,150,4.4,10,0,12%,,,,,,,
8.8,9,7,368,370,1.8,11,0,-22%,,,,,,,
24,36,51,50,62,10,12,0,42%,,,,,,,
0,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
3.9,3.3,2.5,995,500,1.4,1,1,-24%,,,,,,,
11,17,22,111,115,6,2,1,29%,,,,,,,
5,5,5.7,442,355,1.9,3,1,14%,,,,,,,
26,40,53,48,75,9.2,4,0,33%,,,,,,,
18,14,9.7,263,240,2.9,5,0,-31%,,,,,,,
16,26,14,177,206,3.4,6,0,-46%,,,,,,,
5.4,3.6,5.1,498,389,1.8,7,0,42%,,,,,,,
36,46,58,43,63,11,8,0,26%,,,,,,,
18,18,12,206,214,3.2,9,0,-33%,,,,,,,
14,11,15,163,212,3.3,10,0,36%,,,,,,,
13,39,71,35,39,17,11,0,82%,,,,,,,
26,56,73,34,46,14,12,0,30%,,,,,,,
20,28,40,62,72,9.7,13,0,43%,,,,,,,
74,99,99,10,16,43,14,0,0%,,,,,,,
4.2,3.3,3.3,810,559,1.2,1,1,0%,,,,,,,
4.1,3.4,3.1,856,457,1.5,2,1,-9%,,,,,,,
18,17,15,167,202,3.5,3,1,-12%,,,,,,,
12,8.1,9.2,288,288,2.4,4,0,14%,,,,,,,
37,53,68,38,47,15,5,0,28%,,,,,,,
5.1,8.4,8.3,317,324,2.2,6,0,-1%,,,,,,,
6.9,5.3,5.5,483,373,1.9,7,0,4%,,,,,,,
15,30,34,76,95,7.4,8,0,13%,,,,,,,
11,19,24,109,126,5.6,9,0,26%,,,,,,,
54,94,99,21,34,20,10,0,5%,,,,,,,
34,89,99,24,40,17,11,0,11%,,,,,,,
27,86,99,25,37,18,12,0,15%,,,,,,,
10,5.2,4.1,702,531,1.6,1,1,-21%,,,,,,,
3.6,3.2,5.6,510,371,2.3,2,1,75%,,,,,,,
25,33,22,129,178,4.9,3,1,-33%,,,,,,,
21,24,21,133,161,5.4,4,0,-13%,,,,,,,
8.4,7.5,9.7,297,305,2.8,4,0,29%,,,,,,,
15,22,16,174,166,5.2,6,0,-27%,,,,,,,
9.3,11,5.8,494,385,2.2,7,0,-47%,,,,,,,
8.2,11,15,190,221,3.9,8,0,36%,,,,,,,
24,29,43,66,86,10,9,0,48%,,,,,,,
16,23,17,163,176,4.9,10,0,-26%,,,,,,,
9.6,7.3,5.6,515,428,2,11,0,-23%,,,,,,,
11,21,36,78,96,9,12,0,71%,,,,,,,
43,96,99,20,31,27,13,0,3%,,,,,,,
36,65,99,26,39,22,14,0,52%,,,,,,,
4.8,3.9,5.4,622,443,2.1,1,1,38%,,,,,,,
41,40,60,56,77,12,2,1,50%,,,,,,,
13,13,14,234,293,3.2,3,1,8%,,,,,,,
22,33,29,116,157,5.9,4,0,-12%,,,,,,,
15,18,10,321,347,2.7,5,0,-44%,,,,,,,
9.2,18,13,259,198,4.7,6,0,-28%,,,,,,,
9,11,11,292,335,2.8,7,0,0%,,,,,,,
4.6,3.1,2.7,1240,630,1.5,8,0,-13%,,,,,,,
55,90,99,31,44,21,9,0,10%,,,,,,,
6,4.8,4.9,691,535,1.7,10,0,2%,,,,,,,
60,99,99,11,19,48,11,0,0%,,,,,,,
17,30,41,81,123,7.6,12,0,37%,,,,,,,
12,22,27,124,151,6.2,13,0,23%,,,,,,,
44,61,86,39,49,18,14,0,41%,,,,,,,
5.2,5.7,3.4,594,390,1.5,1,1,-40%,,,,,,,
3.7,4.3,5.3,386,329,1.8,2,1,23%,,,,,,,
10,8.1,11,185,187,3.2,3,1,36%,,,,,,,
14,15,22,90,103,5.8,4,0,47%,,,,,,,
9.3,10,14,140,151,3.9,5,0,40%,,,,,,,
10,8.5,8,255,230,2.6,6,0,-6%,,,,,,,
15,16,11,180,189,3.2,7,0,-31%,,,,,,,
5.8,4.4,4.2,484,359,1.6,8,0,-5%,,,,,,,
43,68,96,21,31,18,9,0,41%,,,,,,,
19,25,33,61,70,8.5,10,0,32%,,,,,,,
46,67,70,29,44,13,11,0,4%,,,,,,,
21,20,31,65,95,6.2,12,0,55%,,,,,,,
12,9.7,10,188,169,3.7,1,1,3%,,,,,,,
6.8,7.9,8.3,231,245,2.6,2,1,5%,,,,,,,
12,9.9,12,155,183,3.5,3,1,21%,,,,,,,
11,14,13,138,177,3.6,4,0,-7%,,,,,,,
7.5,5.5,4,483,374,1.7,5,0,-27%,,,,,,,
6.6,6.8,8.4,229,270,2.3,6,0,24%,,,,,,,
9.6,11,12,155,166,3.8,7,0,9%,,,,,,,
4.4,5.2,5.8,333,310,2,8,0,12%,,,,,,,
10,6.3,5.6,341,313,2,9,0,-11%,,,,,,,
21,44,57,33,47,13,10,0,30%,,,,,,,
31,58,76,25,32,19,11,0,31%,,,,,,,
47,72,82,23,36,17,12,0,14%,,,,,,,
12,9.7,8.7,242,288,2.5,1,1,-10%,,,,,,,
4.4,4.4,5.2,406,411,1.8,2,1,18%,,,,,,,
6.6,6.8,7.8,270,267,2.7,3,1,15%,,,,,,,
5.3,6.2,4.7,446,352,2.1,4,0,-24%,,,,,,,
12,7.5,9.4,224,271,2.7,5,0,25%,,,,,,,
44,72,99,20,32,23,6,0,38%,,,,,,,
33,28,37,56,72,10,7,0,32%,,,,,,,
11,11,12,165,246,3,8,0,9%,,,,,,,
20,13,13,153,182,4,9,0,0%,,,,,,,
5.6,5.8,5.1,409,334,2.2,10,0,-12%,,,,,,,
16,41,48,43,54,13,11,0,17%,,,,,,,
17,25,17,117,184,4,12,0,-32%,,,,,,,
8.7,8.2,5,623,405,2,1,1,-39%,,,,,,,
6,6.2,6.8,464,381,2.2,2,1,10%,,,,,,,
2.8,2.9,3.6,879,494,1.7,3,1,24%,,,,,,,
14,19,30,103,138,6,4,0,58%,,,,,,,
7.6,7.5,6.5,482,420,2,5,0,-13%,,,,,,,
67,99,99,24,37,22,6,0,0%,,,,,,,
28,12,10,290,297,2.8,7,0,-17%,,,,,,,
12,14,18,167,171,4.9,8,0,29%,,,,,,,
12,10,8.8,355,291,2.9,9,0,-12%,,,,,,,
30,45,70,44,61,13,10,0,56%,,,,,,,
18,25,38,80,98,8.5,11,0,52%,,,,,,,
13,11,10,298,256,3.3,-,0,-9%,,,,,,,
4.8,4.1,4,563,334,1.8,1,1,-2%,,,,,,,
10,13,12,188,175,3.5,2,1,-8%,,,,,,,
16,24,16,138,97,6.3,3,1,-33%,,,,,,,
10,11,7,325,281,2.2,4,0,-36%,,,,,,,
18,21,17,131,147,4.1,5,0,-19%,,,,,,,
9.6,8.6,11,205,199,3.1,6,0,28%,,,,,,,
3.6,3.2,3.7,611,406,1.5,7,0,16%,,,,,,,
12,16,26,85,89,6.9,8,0,63%,,,,,,,
46,80,94,24,37,16,9,0,18%,,,,,,,
14,12,13,168,170,3.6,10,0,8%,,,,,,,
12,10,9.8,231,213,2.9,11,0,-2%,,,,,,,
16,23,30,74,87,7.1,12,0,30%,,,,,,,
3.5,2.6,3.2,827,513,1.4,1,1,23%,,,,,,,
2.8,2.8,2.5,1063,600,1.2,2,1,-11%,,,,,,,
21,10,14,184,226,3.3,3,1,40%,,,,,,,
22,33,20,127,183,4,4,0,-39%,,,,,,,
8.3,17,23,110,127,5.8,5,0,35%,,,,,,,
19,21,27,95,134,5.5,6,0,29%,,,,,,,
26,46,51,51,79,9.4,7,0,11%,,,,,,,
11,16,15,173,233,3.2,8,0,-6%,,,,,,,
34,28,27,98,139,5.3,9,0,-4%,,,,,,,
23,33,23,111,166,4.5,10,0,-30%,,,,,,,
11,11,7.4,357,277,2.7,11,0,-33%,,,,,,,
96,99,99,20,28,25,12,0,0%,,,,,,,
15,10,8.5,320,284,2.8,1,1,-15%,,,,,,,
4.6,4.6,5.9,462,335,2.3,2,1,28%,,,,,,,
3.4,2.8,3.9,696,481,1.6,3,1,39%,,,,,,,
15,22,9.1,301,251,3.1,4,0,-59%,,,,,,,
15,15,11,247,212,3.7,5,0,-27%,,,,,,,
30,72,97,28,35,22,6,0,35%,,,,,,,
9.4,7.1,9.8,280,329,2.4,7,0,38%,,,,,,,
15,14,9.7,281,248,3.2,8,0,-31%,,,,,,,
10,21,10,266,239,3.3,9,0,-52%,,,,,,,
32,63,99,25,39,20,10,0,57%,,,,,,,
8.3,8.8,11,235,274,2.9,11,0,25%,,,,,,,
15,21,15,173,166,4.8,12,0,-29%,,,,,,,
6.3,5.5,4.2,654,467,1.6,1,1,-24%,,,,,,,
24,48,27,99,120,6.2,2,1,-44%,,,,,,,
3.3,2.4,2.5,1109,533,1.4,3,1,4%,,,,,,,
16,45,55,49,59,12,4,0,22%,,,,,,,
13,14,21,129,137,5.4,5,0,50%,,,,,,,
12,18,19,140,168,4.4,6,0,6%,,,,,,,
38,54,38,72,87,8.5,7,0,-30%,,,,,,,
18,46,55,50,62,12,8,0,20%,,,,,,,
14,12,11,250,255,2.9,9,0,-8%,,,,,,,
8.4,8.9,9.7,287,277,2.7,10,0,9%,,,,,,,
7.2,6.3,9,307,301,2.4,11,0,43%,,,,,,,
11,13,12,221,235,3.1,12,0,-8%,,,,,,,
3.8,4.1,4.3,821,564,1.5,1,1,5%,,,,,,,
18,30,28,127,134,6.4,2,1,-7%,,,,,,,
3.8,2.6,3,1173,586,1.4,3,1,15%,,,,,,,
10,15,10,332,291,2.9,4,0,-33%,,,,,,,
7.2,5.6,3.7,953,524,1.6,5,0,-34%,,,,,,,
15,52,52,68,96,8.9,6,0,0%,,,,,,,
9,8.6,11,302,330,2.6,7,0,28%,,,,,,,
13,23,19,187,174,4.9,8,0,-17%,,,,,,,
37,68,99,34,58,14,9,0,46%,,,,,,,
15,10,13,266,268,3.2,10,0,30%,,,,,,,
40,99,99,12,19,43,11,0,0%,,,,,,,
32,48,57,62,83,10,12,0,19%,,,,,,,
5.8,4.6,6.7,329,307,2.2,1,1,46%,,,,,,,
9.3,8.7,5.3,416,409,1.7,2,1,-39%,,,,,,,
49,68,92,23,34,20,3,1,35%,,,,,,,
3.6,3.2,3.4,646,471,1.4,4,0,6%,,,,,,,
6.1,7,8.8,249,256,2.7,5,0,26%,,,,,,,
12,10,8.8,250,232,2.9,6,0,-12%,,,,,,,
24,37,44,49,60,11,7,0,19%,,,,,,,
13,19,29,76,77,8.8,8,0,53%,,,,,,,
9.2,13,11,198,199,3.4,9,0,-15%,,,,,,,
26,24,30,72,106,6.4,10,0,25%,,,,,,,
13,13,7.7,285,249,2.7,11,0,-41%,,,,,,,
42,47,69,31,37,18,12,0,47%,,,,,,,
53,57,69,31,45,15,13,0,21%,,,,,,,
86,99,99,13,18,36,14,0,0%,,,,,,,
39,55,34,73,89,8.8,1,1,-38%,,,,,,,
10,17,7.5,339,264,3,2,1,-56%,,,,,,,
27,61,86,29,53,14,3,1,41%,,,,,,,
13,11,13,183,199,4,4,0,18%,,,,,,,
7.1,8,7.9,323,343,2.3,5,0,-1%,,,,,,,
16,19,15,164,191,4.1,6,0,-21%,,,,,,,
77,99,99,14,28,27,7,0,0%,,,,,,,
5.7,5.2,4.3,586,445,1.8,8,0,-17%,,,,,,,
12,15,18,139,161,4.9,9,0,20%,,,,,,,
19,22,14,174,194,4.1,10,0,-36%,,,,,,,
6.4,4.3,5.1,502,432,1.8,11,0,19%,,,,,,,
29,92,99,19,30,25,12,0,8%,,,,,,,
27,35,45,55,71,11,13,0,29%,,,,,,,
4.4,3.6,5.2,486,386,2,14,0,44%,,,,,,,
2.6,2.4,3.1,1057,598,1.5,1,1,29%,,,,,,,
13,8.8,6.5,506,347,2.5,2,1,-26%,,,,,,,
19,23,27,119,152,5.8,3,1,17%,,,,,,,
13,16,18,179,206,4.3,4,0,13%,,,,,,,
12,7.2,5.3,615,496,1.8,5,0,-26%,,,,,,,
25,23,33,98,124,7.2,6,0,43%,,,,,,,
10,5.5,4.5,729,542,1.6,7,0,-18%,,,,,,,
63,55,55,59,101,8.8,8,0,0%,,,,,,,
70,99,99,13,27,33,9,0,0%,,,,,,,
4.8,10,11,290,324,2.7,10,0,10%,,,,,,,
21,56,88,37,60,14,11,0,57%,,,,,,,
56,53,68,47,57,15,12,0,28%,,,,,,,
127,99,99,10,17,51,13,0,0%,,,,,,,
9.6,15,15,213,195,4.6,14,0,0%,,,,,,,
7,6.7,8.2,278,342,2,1,1,22%,,,,,,,
10,13,9.9,231,275,2.5,2,1,-24%,,,,,,,
2.2,1.8,1.8,1289,615,1.1,3,1,0%,,,,,,,
21,18,19,114,162,4.2,4,0,6%,,,,,,,
54,78,84,27,48,14,5,0,8%,,,,,,,
20,36,39,57,85,8,6,0,8%,,,,,,,
83,70,77,29,43,15,7,0,10%,,,,,,,
27,31,28,81,150,4.5,8,0,-10%,,,,,,,
29,57,65,34,60,11,9,0,14%,,,,,,,
17,34,49,46,80,8.5,10,0,44%,,,,,,,
28,38,49,46,77,8.9,11,0,29%,,,,,,,
6.6,5.1,5.4,424,367,1.8,12,0,6%,,,,,,,
15,38,43,52,72,9.5,13,0,13%,,,,,,,
87,99,38,59,111,6.1,14,0,-62%,,,,,,,
7,5.8,6.5,486,520,1.4,1,1,12%,,,,,,,
8.7,9.6,5.2,604,461,1.6,2,1,-46%,,,,,,,
